,Player,NewPos,MP,Gls,Ast,G+A,xG,xAG,Age,CrdY,CrdR,PrgC,PrgP,PrgR,FantasyPoints,PlayerCost
75,Reiss Nelson,FW,15,0,0,0,0.2,0.6,23,1,0,9,5,26,20.166666666666668,12.5
76,Jurriën Timber,DF,2,0,0,0,0.0,0.0,22,2,0,0,8,5,4.522222222222222,8.0
77,Cédric Soares,DF,3,0,0,0,0.0,0.0,31,0,0,0,3,6,4.433333333333334,8.0
78,Mohamed Elneny,MF,3,0,0,0,0.1,0.0,31,0,0,1,1,0,1.1333333333333333,10.1
79,Ethan Nwaneri,FW,1,0,0,0,0.0,0.0,16,0,0,2,2,1,2.511111111111111,12.0
80,Conor Gallagher,MF,37,5,7,12,4.2,5.0,23,9,1,62,172,122,225.8111111111111,16.7
81,Moisés Caicedo,MF,35,1,3,4,0.4,2.6,21,11,0,27,173,27,120.28888888888889,11.700000000000001
82,Nicolas Jackson,FW,35,14,5,19,18.6,4.3,22,10,0,70,67,200,285.3888888888889,32.75
83,Cole Palmer,FW,33,22,11,33,18.2,11.1,21,7,0,117,197,195,438.3666666666667,35.75
84,Axel Disasi,DF,31,2,0,2,2.4,0.3,25,6,0,30,112,21,90.94444444444444,10.55
85,Thiago Silva,DF,31,3,1,4,0.8,1.0,38,4,0,2,102,5,70.64444444444445,9.3
86,Enzo Fernández,MF,28,3,2,5,6.2,3.4,22,7,0,52,210,54,188.11111111111111,17.9
87,Đorđe Petrović,GK,23,0,0,0,0.0,0.0,23,2,0,0,1,0,-1.2444444444444445,6.0
88,Raheem Sterling,FW,31,8,4,12,6.5,4.5,28,7,0,120,78,242,282.84444444444443,20.75
89,Levi Colwill,DF,23,1,1,2,1.3,1.2,20,2,0,23,73,27,71.55555555555556,9.9
90,Marc Cucurella,DF,21,0,2,2,1.1,1.1,25,10,0,31,50,73,76.53333333333333,9.65
91,Malo Gusto,DF,27,0,6,6,0.9,4.3,20,7,1,78,86,135,163.9,11.05
92,Mykhailo Mudryk,FW,31,5,2,7,4.4,4.1,22,5,0,92,45,139,177.24444444444444,18.45
93,Robert Sánchez,GK,16,0,0,0,0.0,0.0,25,2,0,0,1,0,-1.3222222222222222,6.0
94,Benoît Badiashile,DF,18,0,1,1,0.3,1.5,22,3,0,3,46,3,28.3,9.05
95,Noni Madueke,FW,23,5,2,7,2.5,2.6,21,2,0,76,52,136,168.85555555555555,15.8
96,Trevoh Chalobah,DF,13,1,0,1,0.2,0.1,24,1,0,5,31,9,27.144444444444446,8.25
97,Ben Chilwell,DF,13,0,1,1,1.2,2.2,26,5,0,22,25,59,55.74444444444445,10.299999999999999
98,Armando Broja,FW,13,1,0,1,2.4,0.2,21,0,0,11,6,37,37.144444444444446,14.5
99,Reece James,DF,10,0,2,2,0.3,1.7,23,2,2,19,21,35,37.91111111111111,9.15
100,Lesley Ugochukwu,MF,12,0,0,0,0.0,0.1,19,2,0,8,17,3,12.233333333333334,10.05
101,Christopher Nkunku,FW,11,3,0,3,2.3,0.2,25,0,0,10,19,35,51.922222222222224,14.4
102,Carney Chukwuemeka,MF,9,1,1,2,0.2,0.3,19,2,0,4,12,19,24.3,10.35
103,Alfie Gilchrist,DF,11,1,0,1,0.3,0.0,19,1,0,1,7,4,10.722222222222221,8.3
104,Ian Maatsen,FW,12,0,0,0,0.8,0.1,21,1,0,9,8,15,16.833333333333336,12.850000000000001
105,Cesare Casadei,FW,11,0,0,0,0.0,0.1,20,0,0,1,3,3,3.7222222222222223,12.05
106,Roméo Lavia,MF,1,0,0,0,0.0,0.0,19,0,0,0,1,0,0.5111111111111111,10.0
107,Deivid Washington,DF,2,0,0,0,0.5,0.0,18,0,0,0,0,1,1.5222222222222221,8.5
108,Mason Burstow,FW,2,0,0,0,0.0,0.0,19,0,0,0,0,1,0.5222222222222223,12.0
109,Joshua Acheampong,DF,1,0,0,0,0.0,0.0,17,0,0,0,0,0,0.011111111111111112,8.0
110,Alex Matos,MF,1,0,0,0,0.0,0.0,18,0,0,0,0,0,0.011111111111111112,10.0
111,Jimi Tauriainen,FW,1,0,0,0,0.0,0.0,19,0,0,0,0,0,0.011111111111111112,12.0
112,Bruno Guimarães,MF,37,7,8,15,4.8,6.4,25,9,0,65,283,73,276.9111111111111,18.0
113,Fabian Schär,DF,36,4,1,5,2.5,0.7,31,5,0,28,133,20,114.5,10.85
114,Anthony Gordon,FW,35,11,10,21,10.2,8.0,22,12,1,138,101,232,334.2888888888889,26.2
115,Dan Burn,DF,33,2,2,4,3.1,1.1,31,4,0,14,75,25,76.56666666666666,11.65
116,Sean Longstaff,MF,35,6,2,8,6.6,2.3,25,7,0,24,145,116,187.38888888888889,17.75
117,Alexander Isak,FW,30,21,2,23,20.3,3.7,23,1,0,68,71,129,288.6333333333333,34.15
118,Kieran Trippier,DF,28,1,10,11,0.7,7.5,32,5,0,34,157,128,198.51111111111112,12.45
119,Miguel Almirón,FW,33,3,1,4,4.5,2.6,29,2,0,78,78,162,186.96666666666667,17.8
120,Martin Dúbravka,GK,23,0,0,0,0.0,0.1,34,1,0,0,0,0,-1.0444444444444445,6.05
121,Sven Botman,DF,17,2,2,4,0.6,1.0,23,2,0,0,35,5,36.388888888888886,9.1
122,Nick Pope,GK,15,0,0,0,0.0,0.0,31,1,0,0,0,0,-0.9333333333333333,6.0
123,Joelinton,MF,20,2,1,3,3.1,2.8,26,6,0,29,56,60,88.72222222222223,14.5
124,Lewis Miley,MF,17,1,3,4,1.2,1.7,17,1,0,14,53,54,77.78888888888889,12.049999999999999
125,Jacob Murphy,FW,21,3,7,10,2.1,5.0,28,1,0,33,52,113,143.43333333333334,16.6
126,Jamaal Lascelles,DF,16,1,0,1,0.7,0.1,29,4,0,8,31,3,23.677777777777777,8.75
127,Valentino Livramento,DF,26,1,0,1,0.4,0.8,20,1,0,44,61,76,96.38888888888889,8.8
128,Elliot Anderson,MF,21,0,2,2,1.5,1.9,20,3,0,37,57,70,90.13333333333333,12.45
129,Callum Wilson,FW,20,9,1,10,8.8,0.6,31,3,0,11,9,77,111.82222222222222,21.1
130,Emil Krafth,DF,17,0,0,0,0.2,1.0,28,2,0,12,29,33,36.58888888888889,8.7
